timestamp_sec_str,app,cenario,n_carros,vazao_env_carro_total_bps,vazao_env_carro_media_bps,throughput_bps,vazao_rec_servidor_media_bps,lat_ms,pdr,arquivo_origem,categoria,lambda,throughput_kbps,timestamp,lat_ms_mean3,lat_ms_std3,lat_ms_delta,pdr_mean3,pdr_std3,pdr_delta,throughput_kbps_mean3,throughput_kbps_std3,throughput_kbps_delta,loss_ratio,thr_util,time_block,group_id
1987-10-05 11:07:23 UTC,s,fq,15,7466032,497735.466666667,5872160,391477.333333333,8.13833333333333,0.786516853932584,metricas_v10_ci_s_fq.csv,mbclcp,-0.149999999999999,5872.16,1987-10-05 11:07:23+00:00,52.72773448773438,57.091050907015855,-24.83380952380957,0.8190077249467339,0.05568526514296427,-0.09678946697503399,6099.855999999997,373.8162878848406,-659.1199999999999,0.2714285723548985,0.587216,5,s_5
1987-10-05 11:07:24 UTC,s,fq,15,7418096,494539.733333333,6027952,401863.466666667,130.36,0.812600969305331,metricas_v10_ci_s_fq.csv,mbclcp,-0.149999999999999,6027.952,1987-10-05 11:07:24+00:00,57.15682539682539,64.60037229211356,122.22166666666668,0.8274747147151776,0.05007965111913819,0.02608411537274702,6143.797333333331,344.4922343701537,155.79200000000037,0.23061630313369513,0.6027952,5,s_5
1987-10-05 11:07:25 UTC,s,fq,15,7466032,497735.466666667,6135808,409053.866666667,39.64,0.821829855537721,metricas_v10_ci_s_fq.csv,mbclcp,-0.149999999999999,6135.808,1987-10-05 11:07:25+00:00,59.379444444444424,63.4568215273389,-90.72000000000001,0.8069825595918787,0.01831466397102091,0.009228886232390043,6011.9733333333315,132.5483131440155,107.85599999999977,0.21679687595299862,0.6135808,5,s_5
1987-10-05 11:07:26 UTC,s,fq,15,7442064,496137.6,6303584,420238.933333333,29.1288888888889,0.847020933977456,metricas_v10_ci_s_fq.csv,mbclcp,-0.149999999999999,6303.584,1987-10-05 11:07:26+00:00,66.37629629629629,55.66018879196888,-10.511111111111102,0.8271505862735027,0.017816175899409554,0.025191078439735004,6155.7813333333315,138.8972655934693,167.77599999999984,0.18060836598639157,0.6303584,6,s_6
1987-10-05 11:07:27 UTC,s,fq,15,7430080,495338.666666667,5596528,373101.866666667,12.7188888888889,0.753225806451613,metricas_v10_ci_s_fq.csv,mbclcp,-0.149999999999999,5596.528,1987-10-05 11:07:27+00:00,27.162592592592578,13.56784043722532,-16.409999999999997,0.8073588653222634,0.048543162806499736,-0.09379512752584307,6011.9733333333315,369.4364834248559,-707.0559999999996,0.32762312723099274,0.5596528000000001,6,s_6
1987-10-05 11:07:28 UTC,s,fq,15,7478016,498534.4,5584544,372302.933333333,42.29625,0.746794871794872,metricas_v10_ci_s_fq.csv,mbclcp,-0.149999999999999,5584.544,1987-10-05 11:07:28+00:00,28.04800925925925,14.818275728872354,29.577361111111102,0.782347204074647,0.05610131669395236,-0.006430934656740939,5828.218666666665,411.7220593620166,-11.984000000000378,0.3390557948764571,0.5584544,6,s_6
1987-10-05 11:07:29 UTC,s,fq,15,7418096,494539.733333333,6195728,413048.533333333,11.1633333333333,0.835218093699515,metricas_v10_ci_s_fq.csv,mbclcp,-0.149999999999999,6195.728,1987-10-05 11:07:29+00:00,22.059490740740717,17.542797800835626,-31.132916666666702,0.778412923982,0.04929969279940591,0.08842322190464302,5792.2666666666655,349.4591387920702,611.1840000000002,0.19729207059357143,0.6195728,6,s_6
1987-10-05 11:07:30 UTC,s,fq,15,7442064,496137.6,6735008,449000.533333333,96.9777777777778,0.904991948470209,metricas_v10_ci_s_fq.csv,mbclcp,-0.149999999999999,6735.008,1987-10-05 11:07:30+00:00,50.14578703703702,43.44238874675714,85.8144444444445,0.8290016379881987,0.07928153636479802,0.06977385477069398,6171.7599999999975,575.6063781717609,539.2799999999997,0.10498220739467307,0.6735008,6,s_6
1987-10-05 11:07:31 UTC,s,fq,15,7442064,496137.6,5716368,381091.2,138.8,0.768115942028985,metricas_v10_ci_s_fq.csv,mbclcp,-0.149999999999999,5716.368,1987-10-05 11:07:31+00:00,82.3137037037037,65.0696240054579,41.82222222222221,0.8361086613995697,0.06844234886344039,-0.136876006441224,6215.701333333332,509.61364084309105,-1018.6399999999994,0.3018867933616954,0.5716368000000001,6,s_6
1987-10-05 11:07:32 UTC,s,fq,15,7430080,495338.666666667,5440736,362715.733333333,89.96,0.732258064516129,metricas_v10_ci_s_fq.csv,mbclcp,-0.149999999999999,5440.736,1987-10-05 11:07:32+00:00,108.57925925925925,26.406101129421646,-48.84000000000002,0.8017886516717744,0.09115721143979924,-0.03585787751285607,5964.037333333331,681.7551440959702,-275.6320000000005,0.36563876738613227,0.5440735999999999,6,s_6
