feature,importance
cat__timestamp_1987-10-05 11:07:24+00:00,2.6643223973525684e-06
cat__timestamp_sec_str_1987-10-05 11:07:20 UTC,2.445645862288058e-06
cat__timestamp_sec_str_1987-10-05 11:06:02 UTC,2.4193743413295005e-06
cat__timestamp_sec_str_1987-10-05 11:06:08 UTC,2.2944299174163167e-06
cat__timestamp_1987-10-05 11:05:55+00:00,2.2560269316414615e-06
cat__timestamp_sec_str_1987-10-05 11:05:46 UTC,2.210742708825228e-06
cat__timestamp_sec_str_1987-10-05 11:06:11 UTC,2.1820013720428776e-06
cat__group_id_g_3,2.1472066118954844e-06
cat__timestamp_1987-10-05 11:04:01+00:00,2.0984865412894465e-06
cat__timestamp_sec_str_1987-10-05 11:04:00 UTC,2.0974774265868383e-06
cat__timestamp_1987-10-05 11:05:53+00:00,2.0758518900331555e-06
cat__timestamp_sec_str_1987-10-05 11:06:47 UTC,2.0506757872659777e-06
cat__timestamp_1987-10-05 11:07:25+00:00,1.93536387791963e-06
cat__timestamp_1987-10-05 11:08:31+00:00,1.8152175119531851e-06
cat__arquivo_origem_metricas_v10_ci_g_fq.csv,1.7373377653375189e-06
cat__timestamp_sec_str_1987-10-05 11:03:03 UTC,1.6438345345766663e-06
cat__timestamp_1987-10-05 11:08:04+00:00,1.610015999967044e-06
cat__timestamp_1987-10-05 11:05:47+00:00,1.6023215009186076e-06
cat__timestamp_1987-10-05 11:06:08+00:00,1.545156113802602e-06
cat__timestamp_1987-10-05 11:05:46+00:00,1.5269807098767013e-06
cat__timestamp_1987-10-05 11:08:51+00:00,1.4900541331465605e-06
cat__timestamp_sec_str_1987-10-05 11:01:31 UTC,1.4402676904536898e-06
cat__timestamp_1987-10-05 11:01:30+00:00,1.4099332196174067e-06
cat__timestamp_1987-10-05 11:05:34+00:00,1.3619394164625906e-06
cat__timestamp_sec_str_1987-10-05 11:06:28 UTC,1.361008161520355e-06
cat__timestamp_1987-10-05 11:04:22+00:00,1.3563587319992716e-06
cat__timestamp_sec_str_1987-10-05 11:05:53 UTC,1.3322751375540668e-06
cat__timestamp_1987-10-05 11:05:44+00:00,1.2961194966661628e-06
cat__timestamp_sec_str_1987-10-05 11:03:58 UTC,1.2199751299822046e-06
cat__timestamp_1987-10-05 11:05:06+00:00,1.1452238627387027e-06
cat__timestamp_1987-10-05 11:07:27+00:00,1.068859771277449e-06
