feature,importance
cat__timestamp_1987-10-05 11:02:34+00:00,0.0
cat__timestamp_1987-10-05 11:02:35+00:00,0.0
cat__timestamp_1987-10-05 11:02:36+00:00,0.0
cat__timestamp_1987-10-05 11:02:37+00:00,0.0
cat__timestamp_1987-10-05 11:02:38+00:00,0.0
cat__timestamp_1987-10-05 11:02:39+00:00,0.0
cat__timestamp_1987-10-05 11:02:40+00:00,0.0
cat__timestamp_1987-10-05 11:02:41+00:00,0.0
cat__timestamp_1987-10-05 11:02:42+00:00,0.0
cat__timestamp_1987-10-05 11:02:44+00:00,0.0
cat__timestamp_1987-10-05 11:02:45+00:00,0.0
cat__timestamp_1987-10-05 11:02:46+00:00,0.0
cat__timestamp_1987-10-05 11:02:47+00:00,0.0
cat__timestamp_1987-10-05 11:02:32+00:00,0.0
cat__timestamp_1987-10-05 11:01:48+00:00,0.0
cat__timestamp_1987-10-05 11:01:50+00:00,0.0
cat__timestamp_1987-10-05 11:01:51+00:00,0.0
cat__timestamp_1987-10-05 11:01:52+00:00,0.0
cat__timestamp_1987-10-05 11:01:53+00:00,0.0
cat__timestamp_1987-10-05 11:01:54+00:00,0.0
cat__timestamp_1987-10-05 11:01:55+00:00,0.0
cat__timestamp_1987-10-05 11:01:56+00:00,0.0
cat__timestamp_1987-10-05 11:01:57+00:00,0.0
cat__timestamp_1987-10-05 11:01:58+00:00,0.0
cat__timestamp_1987-10-05 11:01:59+00:00,0.0
cat__timestamp_1987-10-05 11:02:00+00:00,0.0
cat__timestamp_1987-10-05 11:02:01+00:00,0.0
cat__timestamp_1987-10-05 11:02:02+00:00,0.0
cat__timestamp_1987-10-05 11:02:18+00:00,0.0
cat__timestamp_1987-10-05 11:02:04+00:00,0.0
cat__timestamp_1987-10-05 11:02:05+00:00,0.0
cat__timestamp_1987-10-05 11:02:06+00:00,0.0
cat__timestamp_1987-10-05 11:02:07+00:00,0.0
cat__timestamp_1987-10-05 11:02:08+00:00,0.0
cat__timestamp_1987-10-05 11:02:09+00:00,0.0
cat__timestamp_1987-10-05 11:02:10+00:00,0.0
cat__timestamp_1987-10-05 11:02:11+00:00,0.0
cat__timestamp_1987-10-05 11:02:12+00:00,0.0
cat__timestamp_1987-10-05 11:02:13+00:00,0.0
cat__timestamp_1987-10-05 11:02:14+00:00,0.0
cat__timestamp_1987-10-05 11:02:15+00:00,0.0
cat__timestamp_1987-10-05 11:02:16+00:00,0.0
cat__timestamp_1987-10-05 11:02:17+00:00,0.0
cat__timestamp_1987-10-05 11:02:03+00:00,0.0
cat__timestamp_1987-10-05 11:03:19+00:00,0.0
cat__timestamp_1987-10-05 11:03:20+00:00,0.0
cat__timestamp_1987-10-05 11:03:21+00:00,0.0
cat__timestamp_1987-10-05 11:03:22+00:00,0.0
cat__timestamp_1987-10-05 11:03:23+00:00,0.0
cat__timestamp_1987-10-05 11:03:24+00:00,0.0
cat__timestamp_1987-10-05 11:03:25+00:00,0.0
cat__timestamp_1987-10-05 11:03:26+00:00,0.0
cat__timestamp_1987-10-05 11:03:27+00:00,0.0
cat__timestamp_1987-10-05 11:03:28+00:00,0.0
cat__timestamp_1987-10-05 11:03:29+00:00,0.0
cat__timestamp_1987-10-05 11:03:30+00:00,0.0
cat__timestamp_1987-10-05 11:03:31+00:00,0.0
cat__timestamp_1987-10-05 11:03:32+00:00,0.0
cat__timestamp_1987-10-05 11:02:48+00:00,0.0
cat__timestamp_1987-10-05 11:03:34+00:00,0.0
cat__timestamp_1987-10-05 11:03:35+00:00,0.0
cat__timestamp_1987-10-05 11:03:36+00:00,0.0
cat__timestamp_1987-10-05 11:03:37+00:00,0.0
cat__timestamp_1987-10-05 11:03:38+00:00,0.0
cat__timestamp_1987-10-05 11:05:21+00:00,0.0
cat__timestamp_1987-10-05 11:03:40+00:00,0.0
cat__timestamp_1987-10-05 11:03:41+00:00,0.0
cat__timestamp_1987-10-05 11:03:42+00:00,0.0
cat__timestamp_1987-10-05 11:03:43+00:00,0.0
cat__timestamp_1987-10-05 11:03:44+00:00,0.0
cat__timestamp_1987-10-05 11:03:45+00:00,0.0
cat__timestamp_1987-10-05 11:03:46+00:00,0.0
cat__timestamp_1987-10-05 11:03:47+00:00,0.0
cat__timestamp_1987-10-05 11:03:33+00:00,0.0
cat__timestamp_1987-10-05 11:02:49+00:00,0.0
cat__timestamp_1987-10-05 11:02:50+00:00,0.0
cat__timestamp_1987-10-05 11:02:51+00:00,0.0
cat__timestamp_1987-10-05 11:02:52+00:00,0.0
cat__timestamp_1987-10-05 11:02:53+00:00,0.0
cat__timestamp_1987-10-05 11:02:54+00:00,0.0
cat__timestamp_1987-10-05 11:02:55+00:00,0.0
cat__timestamp_1987-10-05 11:02:56+00:00,0.0
cat__timestamp_1987-10-05 11:02:57+00:00,0.0
cat__timestamp_1987-10-05 11:02:58+00:00,0.0
cat__timestamp_1987-10-05 11:02:59+00:00,0.0
cat__timestamp_1987-10-05 11:03:00+00:00,0.0
cat__timestamp_1987-10-05 11:03:01+00:00,0.0
cat__timestamp_1987-10-05 11:03:02+00:00,0.0
cat__timestamp_1987-10-05 11:03:18+00:00,0.0
cat__timestamp_1987-10-05 11:03:04+00:00,0.0
cat__timestamp_1987-10-05 11:03:05+00:00,0.0
cat__timestamp_1987-10-05 11:03:06+00:00,0.0
cat__timestamp_1987-10-05 11:03:07+00:00,0.0
cat__timestamp_1987-10-05 11:03:08+00:00,0.0
cat__timestamp_1987-10-05 11:03:09+00:00,0.0
cat__timestamp_1987-10-05 11:03:10+00:00,0.0
cat__timestamp_1987-10-05 11:03:11+00:00,0.0
cat__timestamp_1987-10-05 11:03:12+00:00,0.0
cat__timestamp_1987-10-05 11:03:13+00:00,0.0
cat__timestamp_1987-10-05 11:03:14+00:00,0.0
cat__timestamp_1987-10-05 11:03:15+00:00,0.0
cat__timestamp_1987-10-05 11:03:16+00:00,0.0
cat__timestamp_1987-10-05 11:03:17+00:00,0.0
cat__timestamp_1987-10-05 11:03:03+00:00,0.0
cat__timestamp_1987-10-05 11:08:02+00:00,0.0
cat__timestamp_1987-10-05 11:08:03+00:00,0.0
cat__timestamp_1987-10-05 11:08:04+00:00,0.0
cat__timestamp_1987-10-05 11:08:05+00:00,0.0
cat__timestamp_1987-10-05 11:08:06+00:00,0.0
cat__timestamp_1987-10-05 11:08:07+00:00,0.0
cat__timestamp_1987-10-05 11:08:09+00:00,0.0
cat__timestamp_1987-10-05 11:08:12+00:00,0.0
cat__timestamp_1987-10-05 11:08:13+00:00,0.0
cat__timestamp_1987-10-05 11:08:14+00:00,0.0
cat__timestamp_1987-10-05 11:08:15+00:00,0.0
cat__timestamp_1987-10-05 11:08:16+00:00,0.0
cat__timestamp_1987-10-05 11:08:17+00:00,0.0
cat__timestamp_1987-10-05 11:01:49+00:00,0.0
cat__timestamp_1987-10-05 11:08:19+00:00,0.0
cat__timestamp_1987-10-05 11:08:20+00:00,0.0
cat__timestamp_1987-10-05 11:08:21+00:00,0.0
cat__timestamp_1987-10-05 11:08:22+00:00,0.0
cat__timestamp_1987-10-05 11:08:23+00:00,0.0
cat__timestamp_1987-10-05 11:08:24+00:00,0.0
cat__timestamp_1987-10-05 11:08:25+00:00,0.0
cat__timestamp_1987-10-05 11:08:26+00:00,0.0
cat__timestamp_1987-10-05 11:08:27+00:00,0.0
cat__timestamp_1987-10-05 11:08:28+00:00,0.0
cat__timestamp_1987-10-05 11:08:29+00:00,0.0
cat__timestamp_1987-10-05 11:08:30+00:00,0.0
cat__timestamp_1987-10-05 11:08:31+00:00,0.0
cat__timestamp_1987-10-05 11:08:18+00:00,0.0
cat__timestamp_1987-10-05 11:07:30+00:00,0.0
cat__timestamp_1987-10-05 11:07:31+00:00,0.0
cat__timestamp_1987-10-05 11:07:32+00:00,0.0
cat__timestamp_1987-10-05 11:07:33+00:00,0.0
cat__timestamp_1987-10-05 11:07:34+00:00,0.0
cat__timestamp_1987-10-05 11:07:35+00:00,0.0
cat__timestamp_1987-10-05 11:07:36+00:00,0.0
cat__timestamp_1987-10-05 11:07:37+00:00,0.0
cat__timestamp_1987-10-05 11:07:38+00:00,0.0
cat__timestamp_1987-10-05 11:07:39+00:00,0.0
cat__timestamp_1987-10-05 11:07:40+00:00,0.0
cat__timestamp_1987-10-05 11:07:41+00:00,0.0
cat__timestamp_1987-10-05 11:07:42+00:00,0.0
cat__timestamp_1987-10-05 11:08:01+00:00,0.0
